index,timestamp_utc,dataset_id,dataset_name,model_type,param_set_id,param_json,candidate_accuracies_json,candidate_ranking_json,best_accuracy,best_candidate,best_candidate_id,accuracy_ranking,status,error_message
21,2025-11-12T12:37:42.117116,1,22000-scotch-whisky-reviews__scotch_review.csv,DT,1,"{""criterion"": ""gini"", ""max_depth"": 3, ""max_features"": ""sqrt""}","{""1"": 0.8095238095238094, ""2"": 0.8095238095238094, ""3"": 0.8095238095238094, ""4"": 0.8095238095238094, ""5"": 0.8095238095238094, ""6"": 0.8095238095238094, ""7"": 0.470404984423676, ""8"": 0.8086337338673788}","[""1=2=3=4=5=6"", ""8"", ""7""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""discretize"", ""rebalance""]",1.0,1=2=3=4=5=6>8>7,SUCCESS,
22,2025-11-12T12:38:42.876549,1,22000-scotch-whisky-reviews__scotch_review.csv,DT,2,"{""criterion"": ""entropy"", ""max_depth"": 7, ""max_features"": ""log2""}","{""1"": 0.7823765020026702, ""2"": 0.8099688473520249, ""3"": 0.8095238095238094, ""4"": 0.8095238095238094, ""5"": 0.6875834445927905, ""6"": 0.8081886960391634, ""7"": 0.8095238095238094, ""8"": 0.7850467289719626}","[""2"", ""3=4=7"", ""6"", ""8"", ""1"", ""5""]",0.8099688473520249,"[""impute"", ""encode"", ""normalize"", ""features"", ""rebalance"", ""discretize""]",2.0,2>3=4=7>6>8>1>5,SUCCESS,
23,2025-11-12T12:39:59.321883,1,22000-scotch-whisky-reviews__scotch_review.csv,DT,3,"{""criterion"": ""gini"", ""max_depth"": null, ""max_features"": 0.5}","{""1"": 0.6684468179795283, ""2"": 0.8095238095238094, ""3"": 0.6283934134401424, ""4"": 0.7992879394748553, ""5"": 0.48731642189586116, ""6"": 0.8086337338673787, ""7"": 0.7165109034267912, ""8"": 0.8086337338673787}","[""2"", ""6=8"", ""4"", ""7"", ""1"", ""3"", ""5""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""rebalance"", ""discretize""]",2.0,2>6=8>4>7>1>3>5,SUCCESS,
24,2025-11-12T12:41:23.916541,1,22000-scotch-whisky-reviews__scotch_review.csv,DT,4,"{""criterion"": ""entropy"", ""max_depth"": 12, ""max_features"": null}","{""1"": 0.8095238095238094, ""2"": 0.8095238095238094, ""3"": 0.8095238095238094, ""4"": 0.8095238095238094, ""5"": 0.641299510458389, ""6"": 0.5834445927903872, ""7"": 0.6177125055629729, ""8"": 0.8086337338673787}","[""1=2=3=4"", ""8"", ""5"", ""7"", ""6""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""discretize"", ""rebalance""]",1.0,1=2=3=4>8>5>7>6,SUCCESS,
25,2025-11-12T12:42:44.849882,1,22000-scotch-whisky-reviews__scotch_review.csv,DT,5,"{""criterion"": ""gini"", ""max_depth"": 5, ""max_features"": 0.7}","{""1"": 0.7970627503337783, ""2"": 0.8095238095238094, ""3"": 0.5852247441032488, ""4"": 0.8090787716955941, ""5"": 0.8086337338673787, ""6"": 0.8095238095238094, ""7"": 0.4846461949265688, ""8"": 0.5353805073431241}","[""2=6"", ""4"", ""5"", ""1"", ""3"", ""8"", ""7""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""rebalance"", ""discretize""]",2.0,2=6>4>5>1>3>8>7,SUCCESS,
26,2025-11-12T12:46:20.933115,1,22000-scotch-whisky-reviews__scotch_review.csv,GBDT,1,"{""learning_rate"": 0.01, ""n_estimators"": 50, ""max_depth"": 3, ""max_features"": ""sqrt""}","{""1"": 0.8095238095238094, ""2"": 0.8095238095238094, ""3"": 0.6947040498442366, ""4"": 0.8095238095238094, ""5"": 0.8095238095238094, ""6"": 0.8095238095238094, ""7"": 0.8095238095238094, ""8"": 0.6359590565198041}","[""1=2=4=5=6=7"", ""3"", ""8""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""discretize"", ""rebalance""]",1.0,1=2=4=5=6=7>3>8,SUCCESS,
27,2025-11-12T12:51:52.017417,1,22000-scotch-whisky-reviews__scotch_review.csv,GBDT,2,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""max_depth"": 5, ""max_features"": ""log2""}","{""1"": 0.7890520694259012, ""2"": 0.660436137071651, ""3"": 0.8095238095238094, ""4"": 0.8095238095238094, ""5"": 0.8095238095238094, ""6"": 0.7672452158433467, ""7"": 0.8095238095238094, ""8"": 0.8095238095238094}","[""3=4=5=7=8"", ""1"", ""6"", ""2""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""rebalance"", ""discretize"", ""features""]",3.0,3=4=5=7=8>1>6>2,SUCCESS,
28,2025-11-12T13:04:23.534954,1,22000-scotch-whisky-reviews__scotch_review.csv,GBDT,3,"{""learning_rate"": 0.1, ""n_estimators"": 200, ""max_depth"": 7, ""max_features"": 0.3}","{""1"": 0.32220738762794837, ""2"": 0.8095238095238094, ""3"": 0.6648865153538052, ""4"": 0.8095238095238094, ""5"": 0.8095238095238094, ""6"": 0.8086337338673787, ""7"": 0.41388518024032045, ""8"": 0.8095238095238094}","[""2=4=5=8"", ""6"", ""3"", ""7"", ""1""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""rebalance"", ""discretize""]",2.0,2=4=5=8>6>3>7>1,SUCCESS,
29,2025-11-12T13:20:24.187293,1,22000-scotch-whisky-reviews__scotch_review.csv,GBDT,4,"{""learning_rate"": 0.2, ""n_estimators"": 150, ""max_depth"": null, ""max_features"": 0.5}","{""1"": 0.4174454828660436, ""2"": 0.588785046728972, ""3"": 0.6479750778816199, ""4"": 0.8095238095238094, ""5"": 0.8095238095238094, ""6"": 0.8095238095238094, ""7"": 0.6092567868268803, ""8"": 0.3582554517133956}","[""4=5=6"", ""3"", ""7"", ""2"", ""1"", ""8""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""rebalance"", ""features"", ""discretize""]",4.0,4=5=6>3>7>2>1>8,SUCCESS,
30,2025-11-12T13:30:02.205805,1,22000-scotch-whisky-reviews__scotch_review.csv,GBDT,5,"{""learning_rate"": 0.15, ""n_estimators"": 100, ""max_depth"": 4, ""max_features"": null}","{""1"": 0.8095238095238094, ""2"": 0.8095238095238094, ""3"": 0.8095238095238094, ""4"": 0.4588340008900757, ""5"": 0.46461949265687585, ""6"": 0.8081886960391634, ""7"": 0.5438362260792168, ""8"": 0.8095238095238094}","[""1=2=3=8"", ""6"", ""7"", ""5"", ""4""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""discretize"", ""rebalance""]",1.0,1=2=3=8>6>7>5>4,SUCCESS,
31,2025-11-12T13:30:21.940128,2,absenteeismatwork__Absenteeism_at_work.csv,KNN,1,"{""n_neighbors"": 3, ""weights"": ""uniform"", ""algorithm"": ""auto"", ""p"": 2, ""metric"": ""minkowski""}","{""1"": 0.27706461275139066, ""2"": 0.28639061694260665, ""3"": 0.31351283148459014, ""4"": 0.27705364098175395, ""5"": 0.4189241082694228, ""6"": 0.2594439507148108, ""7"": 0.32155513862830937, ""8"": 0.2797856116212984}","[""5"", ""7"", ""3"", ""2"", ""8"", ""1"", ""4"", ""6""]",0.4189241082694228,"[""impute"", ""encode"", ""discretize"", ""features"", ""normalize"", ""rebalance""]",5.0,5>7>3>2>8>1>4>6,SUCCESS,
32,2025-11-12T13:30:50.508891,2,absenteeismatwork__Absenteeism_at_work.csv,KNN,2,"{""n_neighbors"": 5, ""weights"": ""distance"", ""algorithm"": ""kd_tree"", ""p"": 2, ""metric"": ""euclidean""}","{""1"": 0.3296961916987591, ""2"": 0.2419110628353247, ""3"": 0.2527347135819536, ""4"": 0.3122455920915484, ""5"": 0.33240073291421174, ""6"": 0.33512173178411947, ""7"": 0.3039948213247315, ""8"": 0.32841249465126227}","[""6"", ""5"", ""1"", ""8"", ""4"", ""7"", ""3"", ""2""]",0.3351217317841194,"[""impute"", ""encode"", ""discretize"", ""rebalance"", ""features"", ""normalize""]",6.0,6>5>1>8>4>7>3>2,SUCCESS,
33,2025-11-12T13:31:06.945599,2,absenteeismatwork__Absenteeism_at_work.csv,KNN,3,"{""n_neighbors"": 7, ""weights"": ""uniform"", ""algorithm"": ""ball_tree"", ""p"": 1, ""metric"": ""manhattan""}","{""1"": 0.34459585486543126, ""2"": 0.35808015974896595, ""3"": 0.3337392888098922, ""4"": 0.32833569226380527, ""5"": 0.2972581547677825, ""6"": 0.3149062462284542, ""7"": 0.3202385262719024, ""8"": 0.3459289248762933}","[""2"", ""8"", ""1"", ""3"", ""4"", ""7"", ""6"", ""5""]",0.3580801597489659,"[""impute"", ""encode"", ""normalize"", ""features"", ""rebalance"", ""discretize""]",2.0,2>8>1>3>4>7>6>5,SUCCESS,
34,2025-11-12T13:31:29.259556,2,absenteeismatwork__Absenteeism_at_work.csv,KNN,4,"{""n_neighbors"": 9, ""weights"": ""distance"", ""algorithm"": ""brute"", ""p"": 2, ""metric"": ""minkowski""}","{""1"": 0.33241719056866686, ""2"": 0.33920323008898107, ""3"": 0.35676903327737736, ""4"": 0.3580527303248741, ""5"": 0.27836476745334254, ""6"": 0.3081476361322318, ""7"": 0.31091252208068637, ""8"": 0.34332312958757116}","[""4"", ""3"", ""8"", ""2"", ""1"", ""7"", ""6"", ""5""]",0.3580527303248741,"[""impute"", ""encode"", ""normalize"", ""rebalance"", ""features"", ""discretize""]",4.0,4>3>8>2>1>7>6>5,SUCCESS,
35,2025-11-12T13:31:54.483132,2,absenteeismatwork__Absenteeism_at_work.csv,KNN,5,"{""n_neighbors"": 11, ""weights"": ""uniform"", ""algorithm"": ""auto"", ""p"": 2, ""metric"": ""chebyshev""}","{""1"": 0.3500159090659733, ""2"": 0.26892355968094095, ""3"": 0.30939293198600004, ""4"": 0.23643066390178072, ""5"": 0.32294855337217343, ""6"": 0.34589052368256473, ""7"": 0.3554908221146989, ""8"": 0.3608231021581471}","[""8"", ""7"", ""1"", ""6"", ""5"", ""3"", ""2"", ""4""]",0.3608231021581471,"[""impute"", ""encode"", ""rebalance"", ""discretize"", ""features"", ""normalize""]",8.0,8>7>1>6>5>3>2>4,SUCCESS,
36,2025-11-12T13:32:15.018783,2,absenteeismatwork__Absenteeism_at_work.csv,LR,1,"{""penalty"": ""l1"", ""C"": 0.01, ""solver"": ""liblinear"", ""multi_class"": ""ovr"", ""max_iter"": 500}","{""1"": 0.33512173178411947, ""2"": 0.3702752817001855, ""3"": 0.39730972208507515, ""4"": 0.281080280438432, ""5"": 0.32300341222035706, ""6"": 0.3229814686810836, ""7"": 0.317583358019815, ""8"": 0.33512173178411947}","[""3"", ""2"", ""1=8"", ""5"", ""6"", ""7"", ""4""]",0.3973097220850751,"[""impute"", ""encode"", ""normalize"", ""rebalance"", ""discretize"", ""features""]",3.0,3>2>1=8>5>6>7>4,SUCCESS,
37,2025-11-12T13:32:38.615783,2,absenteeismatwork__Absenteeism_at_work.csv,LR,2,"{""penalty"": ""l2"", ""C"": 0.1, ""solver"": ""lbfgs"", ""multi_class"": ""multinomial"", ""max_iter"": 500}","{""1"": 0.33512173178411947, ""2"": 0.42971484370714147, ""3"": 0.33512173178411947, ""4"": 0.41620859528433346, ""5"": 0.37705034945086296, ""6"": 0.4054288316162514, ""7"": 0.33647125944943657, ""8"": 0.3499610502177896}","[""2"", ""4"", ""6"", ""5"", ""8"", ""7"", ""1=3""]",0.4297148437071414,"[""impute"", ""encode"", ""normalize"", ""features"", ""rebalance"", ""discretize""]",2.0,2>4>6>5>8>7>1=3,SUCCESS,
38,2025-11-12T13:34:25.035518,2,absenteeismatwork__Absenteeism_at_work.csv,LR,3,"{""penalty"": ""elasticnet"", ""C"": 1.0, ""solver"": ""saga"", ""multi_class"": ""ovr"", ""l1_ratio"": 0.5, ""max_iter"": 500}","{""1"": 0.41082145639270157, ""2"": 0.35269302085733406, ""3"": 0.41759103825856075, ""4"": 0.33512173178411947, ""5"": 0.4135369693777909, ""6"": 0.3500213949507916, ""7"": 0.40679481693602365, ""8"": 0.45805492467880143}","[""8"", ""3"", ""5"", ""1"", ""7"", ""2"", ""6"", ""4""]",0.4580549246788014,"[""impute"", ""encode"", ""rebalance"", ""discretize"", ""features"", ""normalize""]",8.0,8>3>5>1>7>2>6>4,SUCCESS,
39,2025-11-12T13:37:11.745390,2,absenteeismatwork__Absenteeism_at_work.csv,LR,4,"{""penalty"": null, ""C"": 10.0, ""solver"": ""newton-cg"", ""multi_class"": ""multinomial"", ""max_iter"": 500}","{""1"": 0.42838177369627944, ""2"": 0.3743787235443205, ""3"": 0.45805492467880143, ""4"": 0.32013978034517193, ""5"": 0.45805492467880143, ""6"": 0.3904523660621222, ""7"": 0.4013034462328429, ""8"": 0.3392251736282545}","[""3=5"", ""1"", ""7"", ""6"", ""2"", ""8"", ""4""]",0.4580549246788014,"[""impute"", ""encode"", ""normalize"", ""rebalance"", ""discretize"", ""features""]",3.0,3=5>1>7>6>2>8>4,SUCCESS,
40,2025-11-12T13:39:20.374686,2,absenteeismatwork__Absenteeism_at_work.csv,LR,5,"{""penalty"": ""l2"", ""C"": 100.0, ""solver"": ""sag"", ""multi_class"": ""ovr"", ""max_iter"": 500}","{""1"": 0.33106217701853136, ""2"": 0.42436610600923824, ""3"": 0.4027626915945273, ""4"": 0.4081443446013407, ""5"": 0.33512173178411947, ""6"": 0.355326245570148, ""7"": 0.4000307209549829, ""8"": 0.4135259976081542}","[""2"", ""8"", ""4"", ""3"", ""7"", ""6"", ""5"", ""1""]",0.4243661060092382,"[""impute"", ""encode"", ""normalize"", ""features"", ""rebalance"", ""discretize""]",2.0,2>8>4>3>7>6>5>1,SUCCESS,
