Date&Time,OverSpeed,Location,Duration_overspeed,speed_limit_seconds,over_speed_distance_travelled,Target
23-07-2018 15:54,61,"NH48,Neervalur,Kanchipuram,Tamil Nadu,India,631561",11,16.94444444,186.3888889,safe
23-07-2018 15:56,61,"Chennai - Bengaluru Hwy,Attuputhur,Kanchipuram,Tamil Nadu,India,631561",31,16.94444444,525.2777778,safe
23-07-2018 15:58,61,"Kanchipuram - Chennai Rd,Illuppapattu,TamilNadu,India,631561",21,16.94444444,355.8333333,safe
23-07-2018 22:06,61,"AH45,Molasur,Kanchipuram,Tamil Nadu,India,602106",1,16.94444444,16.94444444,safe
23-07-2018 23:48,64,"AH45,Molasur,Kanchipuram,Tamil Nadu,India,602106",11,17.77777778,195.5555556,unsafe
23-07-2018 23:50,61,"AH45,Nandimedu,Kanchipuram,Tamil Nadu,India,602106",21,16.94444444,355.8333333,safe
23-07-2018 23:52,61,"Kanchipuram - Chennai Rd,TamilNadu,India,602106",41,16.94444444,694.7222222,safe
23-07-2018 23:53,63,"Kanchipuram - Chennai Rd,Pillai Chattiram,TamilNadu,India,602108",11,17.5,192.5,unsafe
23-07-2018 23:55,61,"NH48,Neervalur,Kanchipuram,Tamil Nadu,India,602108",21,16.94444444,355.8333333,safe
23-07-2018 23:57,62,"NH48,Neervalur,Kanchipuram,Tamil Nadu,India,631561",1,17.22222222,17.22222222,safe
24-07-2018 06:07,61,"AH45,Molasur,Kanchipuram,Tamil Nadu,India,602106",21,16.94444444,355.8333333,safe
24-07-2018 13:17,61,"NH 48,Kanchipuram,Tamil Nadu,India,631551",1,16.94444444,16.94444444,safe
24-07-2018 13:18,62,"NH48,Dhamal,Kanchipuram,Tamil Nadu,India,631551",11,17.22222222,189.4444444,safe
24-07-2018 13:20,61,"M.B.T. Road,Kanchipuram,Tamil Nadu,India,631551",21,16.94444444,355.8333333,safe
24-07-2018 13:21,62,"NH48,Thiruppukuzhi,Kanchipuram,Tamil Nadu,India,631551",11,17.22222222,189.4444444,safe
24-07-2018 13:22,61,"NH48,Sirunaiperugal,Kanchipuram,Tamil Nadu,India,631551",1,16.94444444,16.94444444,safe
24-07-2018 13:24,64,"NH48,Kilambi,Kanchipuram,Tamil Nadu,India,631502",131,17.77777778,2328.888889,unsafe
24-07-2018 13:41,62,"NH4,Enathur,TamilNadu,India,631502",1,17.22222222,17.22222222,safe
24-07-2018 13:47,62,"Kanchipuram - Chennai Rd,TamilNadu,India,631561",21,17.22222222,361.6666667,safe
24-07-2018 13:58,62,"Kanchipuram - Chennai Rd,Pillai Chattiram,TamilNadu,India,602108",1,17.22222222,17.22222222,safe
24-07-2018 13:58,61,"Kanchipuram - Chennai Rd,TamilNadu,India,602106",1,16.94444444,16.94444444,safe
24-07-2018 14:03,61,"NH48,Santhavellore,Kanchipuram,Tamil Nadu,India,602106",11,16.94444444,186.3888889,safe
24-07-2018 16:39,63,"NH4,TamilNadu,India,631551",221,17.5,3867.5,unsafe
24-07-2018 23:49,61,"Kanchipuram - Chennai Rd,Nandimedu,TamilNadu,India,602106",21,16.94444444,355.8333333,safe
25-07-2018 05:26,63,"Kodambakkam - Mumbai Highwayy,TamilNadu,India,631551",1,17.5,17.5,unsafe
25-07-2018 05:30,61,"AH45,Sirunaiperugal,Kanchipuram,Tamil Nadu,India,631502",1,16.94444444,16.94444444,safe
25-07-2018 05:30,61,"NH48,Kilambi,Kanchipuram,Tamil Nadu,India,631502",1,16.94444444,16.94444444,safe
25-07-2018 05:57,63,"AH45,Attuputhur,Kanchipuram,Tamil Nadu,India,631561",21,17.5,367.5,unsafe
25-07-2018 05:58,61,"NH 48,Attuputhur,Kanchipuram,Tamil Nadu,India,631561",1,16.94444444,16.94444444,safe
25-07-2018 06:00,62,"Chennai - Bengaluru Highway,Neervalur,Kanchipuram,Tamil Nadu,India,631561",11,17.22222222,189.4444444,safe
25-07-2018 06:01,62,"AH45,Jambodai,Kanchipuram,Tamil Nadu,India,602108",11,17.22222222,189.4444444,safe
25-07-2018 06:10,63,"NH4,Molasur,Kanchipuram,Tamil Nadu,India,602106",1,17.5,17.5,unsafe
25-07-2018 06:10,61,"NH48,Thirumangalam,Kanchipuram,Tamil Nadu,India,602106",11,16.94444444,186.3888889,safe
25-07-2018 07:58,62,"Kanchipuram - Chennai Rd,Nandimedu,TamilNadu,India,602106",11,17.22222222,189.4444444,safe
25-07-2018 07:59,61,"AH45,Nandimedu,Kanchipuram,Tamil Nadu,India,602106",31,16.94444444,525.2777778,unsafe
25-07-2018 08:03,61,"NH48,Jambodai,Kanchipuram,Tamil Nadu,India,602108",41,16.94444444,694.7222222,safe
25-07-2018 08:10,63,"Kanchipuram - Chennai Rd,Illuppapattu,Kanchipuram,Tamil Nadu,India,631561",11,17.5,192.5,unsafe
